Text Styles

artboard,name,size
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Regular",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",12
"Mobile – List","BullText-Bold",24
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",14
"Mobile – List","BullText-Bold",18
"Mobile – List","BullText-Bold",24
"Mobile – List","BullText-Medium",14
"Mobile – List","BullText-Bold",16
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",16
"Mobile – List","BullText-Medium",16
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Regular",12.44444444444444
"Tablet – List","BullText-Bold",20
"Tablet – List","BullText-Bold",10
"Tablet – List","BullText-Medium",16
"Tablet – List","BullText-Medium",16
"Tablet – List","BullText-Regular",18
"Tablet – List","BullText-Medium",14
"Tablet – List","BullText-Bold",18
"Tablet – List","BullText-Bold",24
"Tablet – List","BullText-Medium",14
"Tablet – List","BullText-Bold",16
"Tablet – List","BullText-Medium",16
"Tablet – List","BullText-Medium",16
"Tablet – List","BullText-Medium",16
"Desktop – List","BullText-Medium",14
"Desktop – List","BullText-Bold",18
"Desktop – List","BullText-Bold",24
"Desktop – List","BullText-Medium",14
"Desktop – List","BullText-Bold",16
"Desktop – List","BullText-Medium",16
"Desktop – List","BullText-Medium",16
"Desktop – List","BullText-Medium",16
"Modals","BullText-Bold",16
"Modals","BullText-Medium",14
"Modals","BullText-Bold",18
"Modals","BullText-Bold",24
